time,ax,ay,az,gx,gy,gz,mx,my,mz,normAccel,normGyr,ax_normalized,ay_normalized,az_normalized,gx_normalized,gy_normalized,gz_normalized,mx_normalized,my_normalized,mz_normalized,normAccel_normalized,normGyr_normalized,ax_filter,ay_filter,az_filter,gx_filter,gy_filter,gz_filter,thetaGyrx,thetaGyry,thetaGyrz,vx,vy,vz,posx,posy,posz
7.98,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,93.0,-45.0,92.0,0.0,0.0,0.0010065036416929925,-2.72842157878614e-05,0.0013541681088769177,5.254241354977771e-05,0.002105974755680604,0.005657006964645881,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.0,0.0,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.99,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,93.0,-45.0,92.0,13.848151501193218,18.872850578973868,0.0010065036416929925,-2.72842157878614e-05,0.0013541681088769177,5.254241354977771e-05,0.002105974755680604,0.005657006964645881,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.0007620710335540925,8.075664093036484e-06,0.68,-0.2,13.83,1.7188733853924696,11.459155902616464,14.896902673401405,0.02691393853443471,0.17942625689623143,0.23325413396510086,0.01064736842105263,-0.00313157894736842,0.21654868421052625,0.0,0.0,0.0
8.0,-3.11,1.98,7.0,2.291831180523293,8.594366926962348,13.750987083139757,93.0,-45.0,92.0,13.848151501193218,18.872850578973868,-0.004603274008331186,0.00027011373629982785,0.0006854068519261333,7.005655139970361e-05,0.0015794810667604528,0.0052218525827500435,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.0007620710335540925,8.075664093036484e-06,-0.5833333333333333,0.5266666666666667,11.553333333333333,1.909859317102744,10.504226244065093,14.514930809980855,0.05382787706886942,0.35885251379246286,0.4665082679302017,0.02129473684210526,-0.00626315789473684,0.4330973684210525,0.00016671537396121874,-4.903393351800551e-05,0.003390696502770081
8.02,2.2,0.17,8.19,4.010704565915763,5.729577951308232,10.886198107485642,93.0,-45.0,92.0,7.91154220111351,16.376974042721063,0.003256335311359682,2.319158341968219e-05,0.000801926016753576,0.00012259896494948132,0.001052987377840302,0.004133966628010451,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.0004353763129822701,7.007682314654548e-06,0.1125000000000001,0.4375,10.712499999999999,2.435070629305999,9.310564170875876,13.607747634357052,0.08971312844811571,0.4934222064646364,0.6818197762056795,-0.027401315789473673,0.02473947368421052,0.5427026315789472,0.0005001461218836562,-0.00014710180055401654,0.010172089508310243
8.03,2.2,0.17,8.19,4.010704565915763,5.729577951308232,10.886198107485642,93.0,-45.0,92.0,8.482039848998589,12.93920877992928,0.003256335311359682,2.319158341968219e-05,0.000801926016753576,0.00012259896494948132,0.001052987377840302,0.004133966628010451,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.00046677109748664966,5.536667781007709e-06,0.53,0.384,10.207999999999998,2.7501974166279517,8.594366926962348,13.063437728982771,0.1525123183617967,0.5831353349127522,0.8522747202570993,0.007046052631578949,0.027401315789473676,0.670940789473684,7.109920360110806e-05,0.000240266274238227,0.018669670186980597
8.04,3.58,1.29,6.8,2.291831180523293,4.010704565915763,10.313240312354818,93.0,-45.0,92.0,8.482039848998589,12.93920877992928,0.005298945643030755,0.00017598319183170604,0.0006658237990139581,7.005655139970361e-05,0.0007370911644882115,0.003916389437062533,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.00046677109748664966,5.536667781007709e-06,1.0383333333333333,0.535,9.639999999999999,2.673803043943842,7.83042320012125,12.605071492878112,0.2153115082754777,0.6728484633608679,1.022729664308519,0.04149342105263157,0.030063157894736833,0.7991789473684208,0.00018142555401662054,0.0006693131925207752,0.029175190443213275
8.05,-0.68,-0.26,6.38,8.021409131831525,0.0,7.448451336700702,93.0,-45.0,92.0,7.792335978382862,11.300494104925539,-0.0010065036416929925,-3.546948052421982e-05,0.0006246993878983901,0.00024519792989896263,0.0,0.0028285034823229407,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.0004288163320812382,4.835464260941521e-06,0.7928571428571429,0.42142857142857143,9.174285714285713,3.4377467707849396,6.711791314389643,11.868411470567054,0.251196759654724,0.7356476532745488,1.1842132955151274,0.09754868421052629,0.050261842105263146,0.905652631578947,0.0008311251731301936,0.001140038954293628,0.04168865027700828
8.06,-0.68,-0.26,6.38,8.021409131831525,0.0,7.448451336700702,93.0,-45.0,92.0,6.4214017161364385,10.946343306119568,-0.0010065036416929925,-3.546948052421982e-05,0.0006246993878983901,0.00024519792989896263,0.0,0.0028285034823229407,0.00015406967594011495,-0.00023593437878478065,0.00016491622435059754,0.00035337310125907185,4.683923672122157e-06,0.6087500000000001,0.33625000000000005,8.824999999999998,4.010704565915763,5.872817400090938,11.31591645383376,0.376795139482086,0.7356476532745488,1.3008403624976779,0.08690131578947366,0.0461907894736842,1.0055499999999997,0.002358532202216065,0.0019270335872576165,0.05586926385041547
8.08,-6.08,-3.37,12.37,5.156620156177409,-10.886198107485642,5.729577951308232,93.0,-41.0,92.0,6.4214017161364385,10.946343306119568,-0.008999326678666757,-0.0004597390360254646,0.0012112118226180384,0.00015762724064933312,-0.002000676017896574,0.002175771909479185,0.00015406967594011495,-0.00021496243400391128,0.00016491622435059754,0.00035337310125907185,4.683923672122157e-06,-0.13444444444444434,-0.07555555555555553,9.218888888888888,4.1380285203892795,4.010704565915763,10.695212175775367,0.502393519309448,0.7356476532745488,1.4174674294802283,0.07625394736842103,0.04211973684210525,1.1054473684210524,0.003719223857340718,0.002650284106648198,0.07161405990304703
8.09,-6.08,-3.37,12.37,5.156620156177409,-10.886198107485642,5.729577951308232,93.0,-41.0,92.0,14.189439735239725,13.338969381876417,-0.008999326678666757,-0.0004597390360254646,0.0012112118226180384,0.00015762724064933312,-0.002000676017896574,0.002175771909479185,0.00015406967594011495,-0.00021496243400391128,0.00016491622435059754,0.0007808523039090032,5.707724735305424e-06,-0.7289999999999999,-0.40499999999999997,9.533999999999999,4.239887683968092,2.521014298575622,10.198648753328653,0.5831353349127522,0.565192709223129,1.507180557928344,-0.018946052631578933,-0.010647368421052628,1.299135526315789,0.004913200138504152,0.0033097905124653717,0.08892303843490298
